DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	6q12	6	66873865	intergenic	RNU7-66P - AL591004.1	ENSG00000238949	ENSG00000212229		144961	336543	rs4357117-T	rs4357117	0	4357117	intergenic_variant	1	0.0105	3E-8	7.522878745280337		6.19	[3.25-11.81]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	7p21.3	7	7995866	AC006465.3, GLCCI1	GLCCI1, AC007161.3			ENSG00000106415, ENSG00000283549			rs145044782-A	rs145044782	0	145044782	intron_variant	0	0.0062	3E-8	7.522878745280337		10.88	[4.67-25.38]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	4p14	4	38941227	FAM114A1	FAM114A1			ENSG00000197712			rs144610116-C	rs144610116	0	144610116	intron_variant	0	0.0083	7E-9	8.154901959985743		89.29	[19.61-400]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	9q21.2	9	77012344	intergenic	AL353637.1 - FOXB2	ENSG00000229857	ENSG00000204612		19236	7311	rs62568141-T	rs62568141	0	62568141	regulatory_region_variant	1	0.0303	7E-11	10.154901959985743		3.36	[2.34-4.84]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	10,874 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	1p13.3	1	109274570	CELSR2	CELSR2			ENSG00000143126			rs7528419-G	rs7528419	0	7528419	3_prime_UTR_variant	0	0.17701	8E-9	8.096910013008056		0.4227	[-0.5965-1.4419] unit decrease	Affymetrix, Illumina [13572687] (imputed)	N	response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0008432, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004966	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	10,874 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	6p12.3	6	46709361	PLA2G7	PLA2G7			ENSG00000146070			rs76863441-A	rs76863441	0	76863441	missense_variant	0	0.01019	8E-47	46.096910013008056		0.2355	[-4.3313-4.8023] unit decrease	Affymetrix, Illumina [13572687] (imputed)	N	response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0008432, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004966	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	10,874 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	19q13.32	19	44908822	APOE	APOE			ENSG00000130203			rs7412-T	rs7412	0	7412	missense_variant	0	0.06071	2E-27	26.69897000433602		0.04	[-1.5672-1.6472] unit decrease	Affymetrix, Illumina [13572687] (imputed)	N	response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0008432, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004966	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Myocardial infarction in darapladib-treated cardiovascular disease (time to event)	740 European, African American, Asian and other ancestry cases	NA	1q25.1	1	173026503	RP1-15D23.2	AL031599.1			ENSG00000224228			rs201052613-?	rs201052613	0	201052613	intron_variant	0	0.012	4E-9	8.397940008672037		3.21	[2.17-4.76]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0000612	GCST004964	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Myocardial infarction in darapladib-treated cardiovascular disease (time to event)	740 European, African American, Asian and other ancestry cases	NA	14q31.2	14	84338144	intergenic	MTCYBP27 - RNU6-976P	ENSG00000259012	ENSG00000251895		161056	401798	rs117714106-T	rs117714106	0	117714106	intergenic_variant	1	0.007	5E-10	9.301029995663981		3.79	[2.5-5.88]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0000612	GCST004964	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	1,318 European, African American, Asian and other ancestry darapladib-treated cases, 1,440 European, African American, Asian and other ancestry placebo-treated cases	NA	3p14.2	3	60942161	FHIT	FHIT			ENSG00000189283			rs138741635-A	rs138741635	0	138741635	intron_variant	0	0.019	2E-6	5.698970004336019				Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004958	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	1,318 European, African American, Asian and other ancestry darapladib-treated cases, 1,440 European, African American, Asian and other ancestry placebo-treated cases	NA	4q28.1	4	124644124	intergenic	LINC02516 - ANKRD50	ENSG00000261083	ENSG00000151458		85679	19924	rs192427471-T	rs192427471	0	192427471	intergenic_variant	1	0.024	2E-6	5.698970004336019				Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004958	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	1,318 European, African American, Asian and other ancestry darapladib-treated cases, 1,440 European, African American, Asian and other ancestry placebo-treated cases	NA	6q24.1	6	140064258	intergenic	AL357146.1			ENSG00000236013			rs181937009-G	rs181937009	0	181937009	intron_variant	0	0.224	1E-7	7.0				Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004958	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	1,318 European, African American, Asian and other ancestry darapladib-treated cases, 1,440 European, African American, Asian and other ancestry placebo-treated cases	NA	11p14.3	11	26141193	intergenic	AC024341.1 - ANO3	ENSG00000255086	ENSG00000134343		93595	47649	rs12290663-A	rs12290663	0	12290663	intergenic_variant	1	0.013	4E-6	5.3979400086720375				Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004958	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	1,318 European, African American, Asian and other ancestry darapladib-treated cases, 1,440 European, African American, Asian and other ancestry placebo-treated cases	NA	14q24.3	14	73609035	ACOT6	AC005225.2			ENSG00000258603			rs147204125-G	rs147204125	0	147204125	intron_variant	0	0.008	2E-6	5.698970004336019				Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004958	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein phospholipase A2 activity in cardiovascular disease	22,156 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	12q24.31	12	124822507	SCARB1	SCARB1			ENSG00000073060			rs11057830-A	rs11057830	0	11057830	intron_variant	0	0.14991	7E-9	8.154901959985743		3.67	[2.44-4.9] (nmol/min/ml) increase	Affymetrix, Illumina [13572687] (imputed)	N	lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0004746, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004963	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein phospholipase A2 activity in cardiovascular disease	22,156 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	1p13.3	1	109274968	CELSR2	CELSR2			ENSG00000143126			rs12740374-T	rs12740374	0	12740374	3_prime_UTR_variant	0	0.17646	4E-39	38.39794000867204		7.44	[6.32-8.56] (nmol/min/ml) decrease	Affymetrix, Illumina [13572687] (imputed)	N	lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0004746, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004963	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein phospholipase A2 activity in cardiovascular disease	22,156 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	15q15.3	15	43464986	TP53BP1	TP53BP1			ENSG00000067369			rs190543502-C	rs190543502	0	190543502	intron_variant	0	0.02721	3E-8	7.522878745280337		7.61	[4.92-10.3] (nmol/min/ml) decrease	Affymetrix, Illumina [13572687] (imputed)	N	lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0004746, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004963	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Lipoprotein phospholipase A2 activity in cardiovascular disease	22,156 European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	NA	15q15.3	15	43735849	intergenic	CATSPER2P1			ENSG00000205771			rs147233090-T	rs147233090	0	147233090	intron_variant	0	0.0299	4E-8	7.3979400086720375		7.2	[4.61-9.79] (nmol/min/ml) decrease	Affymetrix, Illumina [13572687] (imputed)	N	lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0004746, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004963	Genome-wide genotyping array
